dre:449990	no KO assigned | (RefSeq) phlda1, zgc:103749; pleckstrin homology-like domain, family A, member 1
dre:445281	K07431 sterol 12-alpha-hydroxylase [EC:1.14.18.8 1.14.13.96] | (RefSeq) cyp8b1, si:ch73-198j8.4, zgc:92406; cytochrome P450, family 8, subfamily B, polypeptide 1
dre:100885852	no KO assigned | (RefSeq) mir132-3, dre-mir-132-3; microRNA 132-3
dre:100885860	no KO assigned | (RefSeq) mir27c-2, dre-mir-27c-2; microRNA 27c-2
dre:503530	K02835 peptide chain release factor 1 | (RefSeq) mtrf1, zgc:113104; mitochondrial translational release factor 1
dre:641419	K08184 MFS transporter, MCP family, solute carrier family 16 (monocarboxylic acid transporters), member 7 | (RefSeq) slc16a7, zgc:123207; solute carrier family 16, member 7 (monocarboxylic acid transporter 2)
dre:393431	no KO assigned | (RefSeq) zgc:63587
dre:550373	K09564 peptidyl-prolyl isomerase E (cyclophilin E) [EC:5.2.1.8] | (RefSeq) ppie, zgc:112471; peptidylprolyl isomerase E (cyclophilin E)
dre:447870	no KO assigned | (RefSeq) ccnb1l, zgc:103540; cyclin B1, like
dre:751786	K04949 cyclic nucleotide gated channel alpha 2 | (RefSeq) cnga5; cyclic nucleotide gated channel alpha 5
dre:564373	no KO assigned | (RefSeq) fd19g12, wu:fd19g12; zgc:165539
dre:445228	no KO assigned | (RefSeq) zgc:100951
dre:568879	K20804 E3 ubiquitin-protein ligase RNF34 [EC:2.3.2.27] | (RefSeq) rnf34b, zgc:171755; ring finger protein 34b
dre:334070	no KO assigned | (RefSeq) fi29h02, wu:fi29h02; zgc:162958
dre:393481	K17854 cytochrome P450 family 2 subfamily K | (RefSeq) cyp2k6, zgc:66225; cytochrome P450, family 2, subfamily K, polypeptide 6
dre:323975	K16497 protocadherin gamma subfamily C | (RefSeq) pcdh1g22, fc15h06, fj64d07, wu:fc15h06, wu:fj64d07, zgc:73319; protocadherin 1 gamma 22
dre:393273	K03113 translation initiation factor 1 | (RefSeq) zgc:56676
dre:353152	K04200 melanocortin 2 receptor | (RefSeq) mc2r; melanocortin 2 receptor
dre:393930	K09086 class B basic helix-loop-helix protein 4/5 | (RefSeq) bhlhe22, Beta3.1, bhlhb5, wu:fq25e11, zgc:64225; basic helix-loop-helix family, member e22
dre:436970	no KO assigned | (RefSeq) denr, im:6891640, zgc:113309, zgc:92629; density-regulated protein
dre:393827	K12602 WD repeat-containing protein 61 | (RefSeq) wdr61, zgc:77675; WD repeat domain 61
dre:402956	no KO assigned | (RefSeq) emc4, tmem85, zgc:77852; ER membrane protein complex subunit 4
dre:393578	no KO assigned | (RefSeq) ufl1, zgc:63562; UFM1-specific ligase 1
dre:550275	K17711 pentatricopeptide repeat domain-containing protein 2 | (RefSeq) ptcd2, zgc:112401; pentatricopeptide repeat domain 2
dre:393145	no KO assigned | (RefSeq) tmem38b, zgc:55815; transmembrane protein 38B
dre:497615	K09669 alpha-1,3-fucosyltransferase 10 [EC:2.4.1.-] | (RefSeq) fut10, zgc:195147; fucosyltransferase 10
dre:402963	K13104 zinc finger protein 830 | (RefSeq) znf830; zgc:77398
dre:79375	no KO assigned | (RefSeq) foxc1b, foxc1.2, id:ibd5079; forkhead box C1b
dre:326935	no KO assigned | (RefSeq) ier5l, fe50b07, wu:fe50b07, zgc:73321, zgc:77455; immediate early response 5-like
dre:553678	K10428 dynactin 6 | (RefSeq) dctn6, hm:zeh0038; zgc:112102
dre:550421	no KO assigned | (RefSeq) znf367, habp4, zgc:112157; zinc finger protein 367
dre:327613	no KO assigned | (RefSeq) fem1a, fi20c04, wu:fi20c04, zgc:63483; fem-1 homolog a (C. elegans)
dre:791222	no KO assigned | (RefSeq) mesdc2, zgc:158636; mesoderm development candidate 2
dre:393779	no KO assigned | (RefSeq) rprmb, rprm, zgc:73361; reprimo, TP53 dependent G2 arrest mediator candidate b
dre:550400	no KO assigned | (RefSeq) prr15lb, atad4b, zgc:112203; proline rich 15-like b
dre:447934	K19931 protein lin-7 | (RefSeq) lin7c, fb75b09, wu:fb75b09, zgc:101881; lin-7 homolog C (C. elegans)
dre:393659	K17981 mitochondrial fission process protein 1 | (RefSeq) mtfp1, zgc:63910; mitochondrial fission process 1
dre:550418	no KO assigned | (RefSeq) zgc:112163
dre:560896	K15630 GDP-D-glucose phosphorylase [EC:2.7.7.78] | (RefSeq) gdpgp1; zgc:153343
dre:550484	no KO assigned | (RefSeq) leprot, OB-RGRP, zgc:112430; leptin receptor overlapping transcript
dre:796767	no KO assigned | (RefSeq) hspb11, cb02d06, mg:cb02d06; heat shock protein, alpha-crystallin-related, b11
dre:64671	no KO assigned | (RefSeq) cmlc1, zgc:103441; cardiac myosin light chain-1
dre:393295	no KO assigned | (RefSeq) zgc:77458; zgc:56409
dre:557675	K00731 glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase [EC:2.4.1.122] | (RefSeq) c1galt1a, wu:fi11c09, zgc:153355; core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1a
dre:447912	K15305 vacuole morphology and inheritance protein 14 | (RefSeq) vac14, fb68e05, wu:fb68e05, zgc:100945; vac14 homolog (S. cerevisiae)
dre:100073335	no KO assigned | (RefSeq) rprml, zgc:165459; reprimo-like
dre:140814	K10048 CCAAT/enhancer binding protein (C/EBP), beta | (RefSeq) cebpb, c/ebpb, cb380, fe11e05, wu:fe11e05; CCAAT/enhancer binding protein (C/EBP), beta
dre:100101649	no KO assigned | (RefSeq) amer2, fam123a, zgc:165647; APC membrane recruitment protein 2
dre:415186	no KO assigned | (RefSeq) yipf6, zgc:86904; Yip1 domain family, member 6
dre:570989	K09173 regulatory factor X 1/2/3 | (RefSeq) rfx3, zgc:153245; regulatory factor X, 3 (influences HLA class II expression)
dre:553682	no KO assigned | (RefSeq) napba, zgc:112161; N-ethylmaleimide-sensitive factor attachment protein, beta a
dre:100004913	no KO assigned | (RefSeq) phyhiplb, phyhipl, zgc:100983; phytanoyl-CoA 2-hydroxylase interacting protein-like b
dre:100302659	K11495 histone H3-like centromeric protein A | (RefSeq) cenpa; histone H3-like centromeric protein A
dre:777744	K18270 Rab3 GTPase-activating protein catalytic subunit | (RefSeq) rab3gap1, fj56a04, rab3gap, wu:fj56a04, zgc:152826; RAB3 GTPase activating protein subunit 1
dre:30661	no KO assigned | (RefSeq) mtnr1c, mel1c; melatonin receptor 1C
dre:30713	K04204 neuropeptide Y receptor type 1 | (RefSeq) npy8br, npyryb, zgc:194624, zgc:194648, zyb; neuropeptide Y receptor Y8b
dre:798580	no KO assigned | (RefSeq) tmem120b, zgc:110614; transmembrane protein 120B
dre:406567	no KO assigned | (RefSeq) fggy, zgc:85818; FGGY carbohydrate kinase domain containing
dre:100033579	K17005 microRNA 19 | (RefSeq) mir19d, dre-mir-19d; microRNA 19d
dre:266754	K04140 adrenergic receptor alpha-2C | (RefSeq) adra2da; adrenergic, alpha-2D-, receptor a
dre:553403	no KO assigned | (RefSeq) kctd12.2, ron; potassium channel tetramerisation domain containing 12.2
dre:266755	K04140 adrenergic receptor alpha-2C | (RefSeq) adra2db, zgc:194662; adrenergic, alpha-2D-, receptor b
dre:574426	no KO assigned | (RefSeq) tmem128, zgc:110421; transmembrane protein 128
dre:406288	K12890 splicing factor, arginine/serine-rich 1 | (RefSeq) srsf1a, sfrs1a, sfrs1l, wu:fb52g10, wu:fb97g12, zgc:66146; serine/arginine-rich splicing factor 1a
dre:432388	K19753 protein TilB | (RefSeq) lrrc6, lrrc6l; leucine rich repeat containing 6
dre:286833	K04202 melanocortin 4 receptor | (RefSeq) mc4r, MC4-R, si:dkey-151m6.62, zMC4; melanocortin 4 receptor
dre:321133	K14766 nucleolar protein 14 | (RefSeq) nop14, Nop14-like, c4orf9, cb168, ik:tdsubc_1a2, nol14, sb:cb168, xx:tdsubc_1a2, zgc:92141; NOP14 nucleolar protein homolog (yeast)
dre:402842	K00044 17beta-estradiol 17-dehydrogenase [EC:1.1.1.62] | (RefSeq) hsd17b1; hydroxysteroid (17-beta) dehydrogenase 1
dre:403125	K10159 toll-like receptor 2 | (RefSeq) tlr2; toll-like receptor 2
dre:100005325	K04845 voltage-gated sodium channel type I beta | (RefSeq) scn1bb; sodium channel, voltage-gated, type I, beta b
dre:30398	K09365 POU domain transcription factor, class 3 | (RefSeq) pou3f1, pou50, wu:fc09d06, zp-50, zp50, zp50pou; POU class 3 homeobox 1
dre:406531	K07945 ADP-ribosylation factor-like protein 4 | (RefSeq) arl4cb, arl7, fc01g11, fj62h11, wu:fc01g11, wu:fj62h11, zgc:77633; ADP-ribosylation factor-like 4Cb
dre:751666	no KO assigned | (RefSeq) zgc:153311
dre:550468	no KO assigned | (RefSeq) zgc:112437
dre:550444	K07945 ADP-ribosylation factor-like protein 4 | (RefSeq) arl4ca, si:ch211-246m6.1, zgc:112100; ADP-ribosylation factor-like 4Ca
dre:678612	no KO assigned | (RefSeq) zgc:136892
dre:100124614	no KO assigned | (RefSeq) tmem230b, zgc:162251; transmembrane protein 230b
dre:100148408	K09396 forkhead box protein C | (RefSeq) foxc1a, foxc1.1; forkhead box C1a
dre:100033591	K17128 microRNA 24 | (RefSeq) mir24-2, dre-mir-24-2, mir-24-5; microRNA 24-2
dre:450012	no KO assigned | (RefSeq) adprhl1, zgc:103446; ADP-ribosylhydrolase like 1
dre:554361	K09371 LIM homeobox transcription factor 1 | (RefSeq) lmx1ba, lmx1b.2; LIM homeobox transcription factor 1, beta a
dre:100034376	K05051 trace amine associated receptor | (RefSeq) taar10, si:dkey-7c18.8; trace amine-associated receptor 10
dre:368369	no KO assigned | (RefSeq) pald1a, cb942, pald, pald1, sb:cb559; phosphatase domain containing, paladin 1a
dre:561935	K04174 apelin receptor | (RefSeq) aplnra, Agtr1, agtrl1, agtrl1a, zgc:152843; apelin receptor a
dre:30542	K09395 forkhead box protein B | (RefSeq) foxb1a, cb114, fkd3, foxb1.2, mar; forkhead box B1a
dre:445242	K00546 histamine N-methyltransferase [EC:2.1.1.8] | (RefSeq) hnmt, zgc:100917; histamine N-methyltransferase
dre:555989	no KO assigned | (RefSeq) rt; reverse transcriptase
dre:368877	K06752 major histocompatibility complex, class II | (RefSeq) si:dz266f07.1; si:busm1-266f07.1
dre:557932	no KO assigned | (RefSeq) nitr12, nitr12_1; novel immune-type receptor 12
dre:795615	no KO assigned | (RefSeq) gag-like protein
dre:368382	no KO assigned | (RefSeq) si:bz1h3.1; si:rp71-1h3.1
dre:792509	no KO assigned | (RefSeq) novel protein similar to vertebrate complement component 3 (C3)
dre:100007164	no KO assigned | (RefSeq) cbln14, si:rp71-1g18.10; cerebellin 14
dre:791723	K06752 major histocompatibility complex, class II | (RefSeq) uncharacterized LOC791723
dre:563077	no KO assigned | (RefSeq) si:ch211-219a15.3
dre:446135	K11598 20S proteasome subunit beta 11 [EC:3.4.25.1] | (RefSeq) Psmb11a; si:ch211-14a17.13
dre:492323	no KO assigned | (RefSeq) nitr1f, nitr1.33, nitr1.36, nitr1.49, nitr1f_1-2, si:busm1-219h16.3, si:dz219h16.3; novel immune-type receptor 1f
dre:569052	no KO assigned | (RefSeq) kcnj1a.6, si:ch211-241l24.7, si:ch211-244h7.8; potassium inwardly-rectifying channel, subfamily J, member 1a, tandem duplicate 6
dre:558159	no KO assigned | (RefSeq) nitr10b, nitr10b_1; novel immune-type receptor 10b
dre:368754	no KO assigned | (RefSeq) si:dz163l24.4; si:busm1-163l24.4
dre:568143	K01672 carbonic anhydrase [EC:4.2.1.1] | (RefSeq) car15, si:ch211-265m20.6; carbonic anhydrase 15
dre:368568	no KO assigned | (RefSeq) si:dz37i06.4; si:busm1-37i06.4
dre:407086	K09028 transcription factor jun-B | (RefSeq) junba, junb, wu:cegs2778, wu:fa92h07, wu:fq24h03, zgc:64066; jun B proto-oncogene a
dre:335916	K04448 transcription factor AP-1 | (RefSeq) jun, c-Jun, fj36h07, wu:fj36h07, zgc:65863; jun proto-oncogene
dre:64886	no KO assigned | (RefSeq) mhc1ufa, UFA, mhc1ubal; major histocompatibility complex class I UFA
dre:378479	no KO assigned | (RefSeq) mhc1ze, Dare-ZE, mhc1zaa; major histocompatibility complex class I ZE gene
dre:550387	no KO assigned | (RefSeq) mhc1uia, mhc1uxa1, zgc:111997; major histocompatibility complex class I UIA
dre:335509	K06752 major histocompatibility complex, class II | (RefSeq) a1, fj17g12, wu:fj17g12; zgc:113912
dre:560927	no KO assigned | (RefSeq) c1r, zgc:112309; complement component 1, r subcomponent
dre:692260	no KO assigned | (RefSeq) zgc:136538
dre:100038770	no KO assigned | (RefSeq) mhc1zea; zgc:162351
dre:100038785	K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] | (RefSeq) zgc:163069
dre:100049175	no KO assigned | (RefSeq) nkd2a, nkd2; naked cuticle homolog 2a
dre:792207	K17852 cytochrome P450 family 2 subfamily AA/AD | (RefSeq) cyp2aa7; cytochrome P450, family 2, subfamily AA, polypeptide 7
dre:654425	no KO assigned | (RefSeq) grnaas; granulin a antisense
dre:100007193	no KO assigned | (RefSeq) im:7160157
dre:100006451	no KO assigned | (RefSeq) fa10h04; wu:fa10h04
dre:562429	no KO assigned | (RefSeq) nid1b, id:ibd5062; nidogen 1b
dre:100002303	no KO assigned | (RefSeq) fb55f04; wu:fb55f04
dre:100272168	no KO assigned | (RefSeq) rn7sk; RNA, 7SK small nuclear
dre:100415795	no KO assigned | (RefSeq) ugt1b6p, Ugt1b6; UDP glucuronosyltransferase 1 family, pseudogene B6
dre:100415801	no KO assigned | (RefSeq) ugt2b2p, Ugt2b2; UDP glucuronosyltransferase 2 family, pseudogene B2
dre:100415802	no KO assigned | (RefSeq) ugt2b4p, Ugt2b4; UDP glucuronosyltransferase 2 family, pseudogene B4
dre:550134	K08770 ubiquitin C | (RefSeq) ubb, Ubi-p63E, im:6892314, si:ch211-202a12.3, ubc, zUBC, zgc:172187; ubiquitin B
dre:394048	K11251 histone H2A | (RefSeq) h2afx, zgc:56329; H2A histone family, member X
dre:140815	K09055 CCAAT/enhancer binding protein (C/EBP), alpha | (RefSeq) cebpa, c/ebpa, cb1062, wu:fj20f03; CCAAT/enhancer binding protein (C/EBP), alpha
dre:30274	K09385 forkhead box protein G | (RefSeq) foxg1a, BF-1, bf1, foxg1, zgc:109850; forkhead box G1a
dre:393335	K10207 testosterone 17beta-dehydrogenase (NADP+) [EC:1.1.1.64] | (RefSeq) hsd17b3, zgc:64019; hydroxysteroid (17-beta) dehydrogenase 3
dre:795490	no KO assigned | (RefSeq) kcna6a, kcna6, si:ch73-230f23.2, zgc:194413, zgc:194437; potassium voltage-gated channel, shaker-related, subfamily, member 6 a
dre:100002553	no KO assigned | (RefSeq) si:dkey-202l22.3
dre:30282	no KO assigned | (RefSeq) mt, mt1; metallothionein-1
dre:445114	K11716 cyclin-dependent kinase 5 activator 1 | (RefSeq) cdk5r2b, zgc:91938; cyclin-dependent kinase 5, regulatory subunit 2b (p39)
dre:767806	K07375 tubulin beta | (RefSeq) zgc:153264
dre:553508	K04628 ceramide galactosyltransferase [EC:2.4.1.47] | (RefSeq) ugt8, si:dkey-189j19.2, zgc:136652; UDP glycosyltransferase 8
dre:572146	K08821 cyclin-dependent kinase 14 [EC:2.7.11.22] | (RefSeq) cdk14, zgc:172096; cyclin-dependent kinase 14
dre:557679	K10436 microtubule-associated protein, RP/EB family | (RefSeq) mapre2, zgc:171788; microtubule-associated protein, RP/EB family, member 2
dre:393409	no KO assigned | (RefSeq) tmem185, zgc:63572; transmembrane protein 185
dre:567207	no KO assigned | (RefSeq) kctd16a, lrl1; potassium channel tetramerization domain containing 16a
dre:795135	K05742 solute carrier family 9 (sodium/hydrogen exchanger), member 1 | (RefSeq) slc9a1, nhe1; solute carrier family 9, subfamily A (NHE1, cation proton antiporter 1), member 1
dre:678641	no KO assigned | (RefSeq) dab1b, zgc:136547; Dab, reelin signal transducer, homolog 1b (Drosophila)
dre:30364	K02375 frizzled 5/8 | (RefSeq) fzd5, fz2, fz8c, fzd8c, zg02; frizzled class receptor 5
dre:336346	K09268 transcription factor SOX4/11/12 (SOX group C) | (RefSeq) sox4a, sox4, wu:fb82f08, wu:fq41g10, zgc:65850, zgc:77392; SRY (sex determining region Y)-box 4a
dre:30369	K02432 frizzled 1/7 | (RefSeq) fzd7a, fz7, id:ibd2735, wu:fc17e10, zg07; frizzled class receptor 7a
dre:541497	K03327 multidrug resistance protein, MATE family | (RefSeq) slc47a1, mate6, zgc:113362; solute carrier family 47 (multidrug and toxin extrusion), member 1
dre:30366	K02842 frizzled 9/10 | (RefSeq) fzd10, fk48e04, fz4, fzb, wu:fk48e04, zg04; frizzled class receptor 10
dre:100004287	no KO assigned | (RefSeq) slc5a3a, CH211-132G1.5, si:ch211-132g1.5, slc5a3; solute carrier family 5 (sodium/myo-inositol cotransporter), member 3a
dre:368275	K17499 protein phosphatase 1G [EC:3.1.3.16] | (RefSeq) ppm1g, cb167, wu:fb37b10, wu:fe01e01; protein phosphatase, Mg2+/Mn2+ dependent, 1G
dre:415098	no KO assigned | (RefSeq) top1mt; topoisomerase (DNA) I, mitochondrial
dre:100148449	K20126 nostrin | (RefSeq) nostrin; nitric oxide synthase trafficking
dre:30370	K02235 frizzled 2 | (RefSeq) fzd2, cb383, fz8, wu:fb70g09, zfz2, zg08; frizzled class receptor 2
dre:568258	K12040 solute carrier family 9 (sodium/hydrogen exchanger), member 3 | (RefSeq) slc9a3.1, nhe3a, si:dkey-3n22.4; solute carrier family 9, subfamily A (NHE3, cation proton antiporter 3), member 3, tandem duplicate 1
dre:404629	K19558 neuroblastoma suppressor of tumorigenicity 1 | (RefSeq) nbl1, dan, zgc:77251; neuroblastoma 1, DAN family BMP antagonist
dre:393875	K09268 transcription factor SOX4/11/12 (SOX group C) | (RefSeq) sox4b, zgc:63851; SRY (sex determining region Y)-box 4b
dre:58048	no KO assigned | (RefSeq) hoxa9b, Hoxa-9, zgc:110504; homeobox A9b
dre:266752	K04140 adrenergic receptor alpha-2C | (RefSeq) adra2c, zgc:194523, zgc:194541; adrenoceptor alpha 2C
dre:447940	no KO assigned | (RefSeq) adam9, zgc:101824; ADAM metallopeptidase domain 9
dre:569298	K01363 cathepsin B [EC:3.4.22.1] | (RefSeq) ctsbb; cathepsin Bb
dre:378965	no KO assigned | (RefSeq) fem1c; fem-1 homolog c (C. elegans)
dre:58072	K02375 frizzled 5/8 | (RefSeq) fzd8b, ZG06, Zfz8b, fz6, fz8b, fzA, ik:tdsubc_1e1, xx:tdsubc_1e1, zfzA; frizzled class receptor 8b
dre:557384	K02432 frizzled 1/7 | (RefSeq) fzd1, fz10, fz3, zg03, zg10, zgc:194761, zgc:194774; frizzled class receptor 1
dre:100006598	K09297 homeobox protein HoxC/D12 | (RefSeq) hoxd12a, HOX-D12, hoxd-12, hoxd12; homeobox D12a
dre:100000808	no KO assigned | (RefSeq) zbed4, si:dkey-164m14.5; zinc finger, BED-type containing 4
dre:30603	K09268 transcription factor SOX4/11/12 (SOX group C) | (RefSeq) sox11b, fb53e02, fc90d10, wu:fb53e02, wu:fc90d10; SRY (sex determining region Y)-box 11b
dre:558162	no KO assigned | (RefSeq) rmdn1, zgc:171674; regulator of microtubule dynamics 1
dre:797780	no KO assigned | (RefSeq) ssuh2.3, zgc:175175; ssu-2 homolog, tandem duplicate 3
dre:100000741	no KO assigned | (RefSeq) ccl33.2, si:ch211-149o7.6; chemokine (C-C motif) ligand 33, duplicate 2
dre:100134975	no KO assigned | (RefSeq) il21r.2, il-21r.b, il21rl; interleukin 21 receptor, tandem duplicate 2
dre:334597	K06269 serine/threonine-protein phosphatase PP1 catalytic subunit [EC:3.1.3.16] | (RefSeq) ppp1cbl, Pp1alpha-96A, wu:fa14b10, zgc:64169; protein phosphatase 1, catalytic subunit, beta isoform, like
dre:550402	no KO assigned | (RefSeq) arf4b, arf4, zgc:112199; ADP-ribosylation factor 4b
dre:100002392	no KO assigned | (RefSeq) chemokine CCL-C17a
dre:405826	K19656 intraflagellar transport protein 122 | (RefSeq) ift122, zgc:77217; intraflagellar transport 122 homolog (Chlamydomonas)
dre:100141344	K00543 acetylserotonin N-methyltransferase [EC:2.1.1.4] | (RefSeq) asmt, zgc:171885; acetylserotonin O-methyltransferase
dre:405836	no KO assigned | (RefSeq) zgc:77058
dre:406812	no KO assigned | (RefSeq) bzw1b, bzw1l, ik:tdsubc_1g3, wu:fb19e02, xx:tdsubc_1g3, zgc:110545, zgc:55457, zgc:76909; basic leucine zipper and W2 domains 1b
dre:406519	K14343 solute carrier family 10 (sodium/bile acid cotransporter), member 3/5 | (RefSeq) slc10a3, zgc:85947; solute carrier family 10, member 3
dre:406683	no KO assigned | (RefSeq) wu:fj98c08, zgc:111883, zgc:77426; zgc:56304
dre:553953	K10872 meiotic recombination protein DMC1 | (RefSeq) dmc1, zgc:136628; DNA meiotic recombinase 1
dre:558014	no KO assigned | (RefSeq) nitr11b, nitr11b_1; novel immune-type receptor 11b
dre:100134972	no KO assigned | (RefSeq) il23r, il-23r; interleukin 23 receptor
dre:606662	no KO assigned | (RefSeq) plgrkt, zgc:110385; plasminogen receptor, C-terminal lysine transmembrane protein
dre:619257	no KO assigned | (RefSeq) zgc:114175
dre:619261	no KO assigned | (RefSeq) b3gntl1, wu:fc19f09, zgc:112249; UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like 1
dre:100003631	no KO assigned | (RefSeq) zgc:173545
dre:368200	K02156 aubergine | (RefSeq) piwil1, ziwi; piwi-like RNA-mediated gene silencing 1
dre:100003410	no KO assigned | (RefSeq) zgc:174623
dre:436843	no KO assigned | (RefSeq) zgc:110070; zgc:92749
dre:641563	no KO assigned | (RefSeq) zgc:123297
dre:321028	K01303 acylaminoacyl-peptidase [EC:3.4.19.1] | (RefSeq) apeh, cb5, sb:cb5, wu:fi37d02; acylaminoacyl-peptide hydrolase
dre:100141365	no KO assigned | (RefSeq) si:ch211-244b2.2
dre:100141478	no KO assigned | (RefSeq) chemokine CCL-CUa
dre:445068	no KO assigned | (RefSeq) trim35-36, zgc:91888; tripartite motif containing 35-36
dre:565892	no KO assigned | (RefSeq) cx34.5, cx20a, gjaa, si:dkey-261a18.2, zgc:136235; connexin 34.5
dre:100144557	K17700 RAP1 GTPase activating protein 1 | (RefSeq) rap1gap, zgc:175180; RAP1 GTPase activating protein
dre:445104	K20123 protein kinase C and casein kinase substrate in neurons protein | (RefSeq) zgc:91999
dre:100124621	no KO assigned | (RefSeq) zgc:171977
dre:751731	K17357 tetraspanin-16 | (RefSeq) tspan34, zgc:153650; tetraspanin 34
dre:751754	no KO assigned | (RefSeq) ms4a17a.16, zgc:153891; membrane-spanning 4-domains, subfamily A, member 17A.16
dre:767675	K05291 phosphatidylinositol glycan, class S | (RefSeq) pigs, zgc:152927; phosphatidylinositol glycan anchor biosynthesis, class S
dre:393127	K00551 phosphatidylethanolamine N-methyltransferase [EC:2.1.1.17] | (RefSeq) pemt, zgc:55479; phosphatidylethanolamine N-methyltransferase
dre:767722	no KO assigned | (RefSeq) foxred2, zgc:153216; FAD-dependent oxidoreductase domain containing 2
dre:796320	no KO assigned | (RefSeq) nitr3c, nitr, nitr3.5, nitr3.8, nitr3c_2, si:busm1-221h6.2, si:dz221h6.2, zgc:109830; novel immune-type receptor 3c
dre:492362	K10450 kelch-like protein 12 | (RefSeq) klhl12, wu:fi60g03, zgc:92570; kelch-like family member 12
dre:393350	K00854 xylulokinase [EC:2.7.1.17] | (RefSeq) xylb, zgc:64119; xylulokinase homolog (H. influenzae)
dre:791773	K08412 G protein-coupled receptor 39 | (RefSeq) gpr39, zgc:64187; G protein-coupled receptor 39
dre:777614	K14077 two pore calcium channel protein 2 | (RefSeq) tpcn2, fi42c05, im:7140344, wu:fi42c05, zgc:152898; two pore segment channel 2
dre:393468	no KO assigned | (RefSeq) vstm2l, zgc:66133; V-set and transmembrane domain containing 2 like
dre:777747	no KO assigned | (RefSeq) zgc:153615
dre:494449	K06171 nicastrin | (RefSeq) ncstn; nicastrin
dre:560761	K08291 G protein-coupled receptor kinase [EC:2.7.11.16] | (RefSeq) grk4, zgc:153020; G protein-coupled receptor kinase 4
dre:791145	K18437 high affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8 [EC:3.1.4.53] | (RefSeq) pde8a, zgc:158458; phosphodiesterase 8A
dre:791220	no KO assigned | (RefSeq) zgc:158643
dre:407079	K10467 kelch-like protein 31 | (RefSeq) klhl31, kbtbd1, klhl, wu:fa31h10, wu:fb95e08; kelch-like family member 31
dre:550268	no KO assigned | (RefSeq) CH73-348L8.3; zgc:110283
dre:550273	K18666 activating signal cointegrator complex subunit 1 | (RefSeq) ascc1, zgc:112403; activating signal cointegrator 1 complex subunit 1
dre:100009628	no KO assigned | (RefSeq) zgc:158862; si:dkey-23c22.6
dre:550566	no KO assigned | (RefSeq) zgc:110688; si:ch211-241b2.1
dre:100037385	K16460 centrosomal protein CEP128 | (RefSeq) cep128, zgc:162199; centrosomal protein 128
dre:373100	K13249 translocon-associated protein subunit alpha | (RefSeq) ssr1, cb758; signal sequence receptor, alpha
dre:563983	K11856 ubiquitin carboxyl-terminal hydrolase 43 [EC:3.4.19.12] | (RefSeq) usp43a, si:ch211-57c18.1; ubiquitin specific peptidase 43a
dre:553590	no KO assigned | (RefSeq) zgc:110158
dre:492643	K12404 ADP-ribosylation factor-binding protein GGA | (RefSeq) gga3, im:7144559, si:ch211-108p22.4; ggolgi-associated, gamma adaptin ear containing, ARF binding protein 3
dre:561445	K14385 solute carrier family 5 (sodium/iodide cotransporter), member 5 | (RefSeq) slc5a5, si:ch211-200a16.4; solute carrier family 5 (sodium/iodide cotransporter), member 5
dre:570890	no KO assigned | (RefSeq) si:dkey-11f4.16
