path:cel00523	Polyketide sugar unit biosynthesis	C14F11.6 F53B1.4 
path:cel03022	Basal transcription factors	taf-2 cyh-1 ttb-1 taf-7.1 Y55B1AL.2 F54D5.11 taf-7.2 taf-10 taf-6.1 pqn-51 ZK550.4 tbp-1 T16H12.4 R02D3.3 taf-8 taf-13 C01F1.1 Y39B6A.36 taf-4 Y73F8A.24 xpd-1 taf-9 cdk-7 xpb-1 taf-11.2 B0336.13 taf-5 Y111B2A.13 tlf-1 mnat-1 fust-1 taf-11.1 taf-1 
path:cel00830	Retinol metabolism	ugt-55 sodh-2 ugt-56 ugt-58 ugt-50 ugt-23 sodh-1 H24K24.3 dhs-13 mboa-2 ugt-48 dhrs-4 dhs-3 ugt-61 ugt-46 dhs-19 ugt-62 D2063.1 
path:cel00410	beta-Alanine metabolism	mlcd-1 acdh-8 alh-5 alh-1 dpyd-1 alh-12 gta-1 F09F7.4 dhp-2 alh-8 alh-4 spds-1 ech-1.1 ech-1.2 acdh-7 upb-1 alh-9 unc-25 ech-6 
path:cel00512	Mucin type O-Glycan biosynthesis	gly-7 gly-5 gly-4 C38H2.2 gly-3 gly-10 gly-16 
path:cel00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	mig-22 sqv-2 sqv-8 sqv-6 sqv-5 sqv-3 
path:cel00620	Pyruvate metabolism	pyk-1 Y17G7B.3 ldh-1 pdhb-1 men-1 mdh-2 T02G5.7 alh-1 alh-12 acs-19 fum-1 pyc-1 dld-1 dlat-1 alh-4 kat-1 mdh-1 C30H6.7 alh-9 pod-2 pdha-1 pck-1 F32D8.12 pck-2 
path:cel04145	Phagosome	mec-7 vha-1 vha-12 vha-10 vha-6 dhc-1 sec-61 mig-2 vha-19 vha-8 tbb-6 act-2 vha-15 rab-7 tba-4 syx-18 emo-1 dli-1 vha-14 act-4 lmp-1 vha-2 vha-13 cpl-1 vha-5 vha-7 vha-3 tbb-4 tbb-1 mec-12 ben-1 sec-22 crt-1 vha-9 vha-4 vha-16 act-1 rab-5 Y38F2AR.9 ced-10 dyci-1 unc-32 che-3 eea-1 tbb-2 pat-3 spe-5 rac-2 cnx-1 hgrs-1 act-3 vps-34 vha-11 syx-7 vha-17 vha-18 
path:cel03410	Base excision repair	F12F6.7 parp-2 lig-1 parp-1 pole-2 R04F11.3 exo-3 ung-1 pole-1 F10C2.4 apn-1 Y53F4B.3 crn-1 
path:cel03030	DNA replication	rfc-4 lig-1 rnh-1.3 T24C4.5 R04F11.3 mcm-3 rpa-2 rpa-4 rnh-2 rfc-2 Y47D3A.29 pri-1 mcm-7 pole-2 dna-2 rnh-1.0 mcm-5 div-1 F10C2.4 mcm-4 mcm-2 Y53F4B.3 F12F6.7 mcm-6 F21D5.6 rpa-1 pole-1 F44B9.8 crn-1 rfc-3 pri-2 rfc-1 
path:cel00310	Lysine degradation	dlst-1 hacd-1 F54C8.1 C15B12.1 ech-8 T02G5.7 alh-1 Probable 3-hydroxyacyl-CoA dehydrogenase B0272.3 kat-1 gbh-2 ech-1.1 set-23 ech-9 ogdh-1 gbh-1 set-2 let-268 R02D3.1 dot-1.4 set-16 alh-12 set-1 set-4 dot-1.1 dot-1.2 alh-4 F54D5.7 ech-1.2 D2045.9 lin-59 alh-9 dot-1.3 ech-6 
path:cel00900	Terpenoid backbone biosynthesis	T01G1.4 hmgr-1 kat-1 fdps-1 fntb-1 idi-1 T02G5.7 coq-1 fnta-1 hmgs-1 icmt-1 fce-1 M01E11.1 mvk-1 fce-2 
path:cel00360	Phenylalanine metabolism	pah-1 got-1.3 acs-6 tatn-1 got-2.2 alh-5 got-2.1 got-1.2 hdl-1 basl-1 tdc-1 mif-1 hpd-1 C31H2.4 
path:cel00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	sqv-2 hst-3.2 hst-2 hse-5 rib-2 sqv-8 sqv-6 sqv-3 rib-1 
path:cel00380	Tryptophan metabolism	hacd-1 F54C8.1 ech-8 T02G5.7 alh-1 Probable 3-hydroxyacyl-CoA dehydrogenase B0272.3 alh-12 hdl-1 nit-1 basl-1 haao-1 tdc-1 ctl-3 alh-4 kmo-1 kat-1 ech-1.1 tdo-2 ctl-2 ech-1.2 F54D5.7 ctl-1 ech-9 Y71D11A.3 ogdh-1 alh-9 flu-2 nkat-3 ech-6 
path:cel00670	One carbon pool by folate	K07E3.4 mthf-1 F38B6.4 tyms-1 alh-3 atic-1 dhfr-1 metr-1 mel-32 Y106G6E.4 dao-3 gcst-1 
path:cel00270	Cysteine and methionine metabolism	ldh-1 ahcy-1 gss-1 mdh-2 cbl-1 F42F12.4 spds-1 smd-1 mdh-1 metr-1 cdo-1 cbs-1 bcat-1 E01A2.1 mpst-4 cysl-2 sams-4 mpst-1 cbs-2 tatn-1 cysl-1 got-2.1 sams-1 sams-5 cysl-4 gcs-1 ZC373.5 Y44A6D.5 got-1.3 B0228.7 got-2.2 T09B4.8 sams-3 got-1.2 cth-1 cth-2 mpst-2 
path:cel04933	AGE-RAGE signaling pathway in diabetic complications	mpk-1 let-2 sta-1 jnk-1 mig-2 plc-3 plc-1 egrh-1 akt-1 crp-1 aap-1 sma-4 cdc-42 plc-4 pmk-1 ced-10 pkc-2 rac-2 age-1 egl-8 pkc-1 akt-2 pmk-2 let-60 pmk-3 
path:cel00010	Glycolysis / Gluconeogenesis	ldh-1 aldo-2 pfk-1.2 C50D2.7 ipgm-1 alh-1 fbp-1 acs-19 pgk-1 gpd-2 dlat-1 pfk-1.1 gpd-1 pck-1 C01B4.6 pyk-1 pdhb-1 sodh-2 alh-5 alh-12 R05F9.6 gpd-4 sodh-1 H24K24.3 dld-1 Y19D10A.16 alh-4 enol-1 aldo-1 gpi-1 hxk-1 C30H6.7 tpi-1 alh-9 Y43F4B.5 gpd-3 pdha-1 D2063.1 pck-2 
path:cel00510	N-Glycan biosynthesis	mans-4 mans-3 algn-11 gly-13 algn-13 mogs-1 algn-7 C14A4.3 dpm-3 ZC513.5 ostb-1 C08B11.8 aagr-4 H43I07.3 fut-8 aman-2 aagr-3 dad-1 ribo-1 gly-20 C08H9.3 ZK686.3 gly-12 algn-1 gly-14 mans-1 algn-2 dpm-1 bre-4 gly-2 stt-3 
path:cel04330	Notch signaling pathway	aph-2 num-1 sel-12 ctbp-1 hop-1 skp-1 aph-1 dsh-1 hda-2 spe-4 pen-2 hda-1 pcaf-1 hda-3 cir-1 cbp-1 adm-4 lag-1 
path:cel00561	Glycerolipid metabolism	acl-8 K07B1.4 Y39G8B.1 acl-5 F53C3.13 acl-11 acl-6 mboa-3 alh-1 dgk-1 alh-12 mboa-2 acl-4 dgtr-1 alh-4 acl-9 W02H5.8 lpin-1 dgk-5 acl-2 alh-9 C13B9.2 dgk-3 acl-1 R11F4.1 F52C9.3 
path:cel04012	ErbB signaling pathway	gsk-3 sem-5 kin-32 plc-3 sli-1 akt-1 abl-1 max-2 src-1 pak-2 nck-1 sek-6 mek-2 age-1 let-363 ced-2 lin-45 akt-2 C44H4.6 rsks-1 mek-1 mpk-1 R04A9.7 sos-1 sta-1 jnk-1 R03D7.5 lin-1 aap-1 mkk-4 pak-1 pkc-2 let-23 shc-1 let-60 
