dre:449990	phlda1, zgc:103749; pleckstrin homology-like domain, family A, member 1
dre:559349	klhl4, khlh4, zgc:162298; kelch-like family member 4
dre:100003913	sc:d136; si:ch73-380l3.2
dre:100885852	mir132-3, dre-mir-132-3; microRNA mir-132-3
dre:100885860	mir27c-2, dre-mir-27c-2; microRNA mir-27c-2
dre:317636	ompb, omp, zgc:101697; olfactory marker protein b
dre:550401	hcfc2, si:ch73-376i21.2, zgc:112202; host cell factor C2; K14966 host cell factor
dre:324421	phb2a, bcap37, phb2, wu:fc28c08, zgc:73150; prohibitin 2a; K17081 prohibitin 2
dre:503530	mtrf1, zgc:113104; mitochondrial translational release factor 1; K02835 peptide chain release factor 1
dre:641419	slc16a7, zgc:123207; solute carrier family 16, member 7 (monocarboxylic acid transporter 2); K08184 MFS transporter, MCP family, solute carrier family 16 (monocarboxylic acid transporters), member 7
dre:393431	zgc:63587
dre:386710	mibp2, cb985; muscle-specific beta 1 integrin binding protein 2; K10524 nicotinamide/nicotinate riboside kinase [EC:2.7.1.22 2.7.1.173]
dre:336702	rpl9, ab02c03, fa93a01, mg:ab02c03, wu:fa93a01, zgc:103730; ribosomal protein L9; K02940 large subunit ribosomal protein L9e
dre:550373	ppie, zgc:112471; peptidylprolyl isomerase E (cyclophilin E) (EC:5.2.1.8); K09564 peptidyl-prolyl isomerase E (cyclophilin E) [EC:5.2.1.8]
dre:393133	slc25a14, zgc:55596; solute carrier family 25 (mitochondrial carrier, brain), member 14; K15106 solute carrier family 25 (mitochondrial carrier), member 14/30
dre:100002020	si:ch211-126g16.10; K07970 beta-1,3-N-acetylglucosaminyltransferase 3 [EC:2.4.1.-]
dre:393914	slc37a4b, G6pt1, zgc:55871; solute carrier family 37 (glucose-6-phosphate transporter), member 4b; K08171 MFS transporter, OPA family, solute carrier family 37 (glycerol-6-phosphate transporter), member 4
dre:378970	rgs12b, RGS12TS, RGS12TS-I, RGS12TS-L, RGS12TS-S, cb958, rgs12; regulator of G-protein signaling 12b; K16449 regulator of G-protein signaling
dre:541327	zgc:114188; K02962 small subunit ribosomal protein S17e
dre:100003705	zgc:171699
dre:406710	stmn4, wu:fj44e06, zgc:73243; stathmin-like 4
dre:447887	ppifa, ppif, wu:fd61c06, zgc:101753; peptidylprolyl isomerase Fa (EC:5.2.1.8); K09565 peptidyl-prolyl isomerase F (cyclophilin D) [EC:5.2.1.8]
dre:793688	si:dkey-65l23.2
dre:100136856	vetz, si:ch211-95o16.2, si:ct573048.2; vezatin, adherens junctions transmembrane protein
dre:335119	serpinb1l3, fk71e06, wu:fk71e06, zgc:64178; serpin peptidase inhibitor, clade B (ovalbumin), member 1, like 3; K13963 serpin B
dre:565828	stk33, si:ch211-208c6.6, wu:fab03g11; serine/threonine kinase 33 (EC:2.7.11.1); K08813 serine/threonine kinase 33 [EC:2.7.11.1]
dre:751595	zgc:152652
dre:393963	srp54, Srp54k, zgc:55842, zgc:85713; signal recognition particle 54; K03106 signal recognition particle subunit SRP54 [EC:3.6.5.4]
dre:558896	si:dkey-61p9.8
dre:767762	zgc:152857
dre:767780	fbxo36a, zgc:153717; F-box protein 36a; K10312 F-box protein 36
dre:393367	coro6, zgc:63634; coronin 6; K13886 coronin-1B/1C/6
dre:447870	ccnb1l, zgc:103540; cyclin B1, like
dre:406528	tdh, wu:fc11b08, zgc:77667; L-threonine dehydrogenase (EC:1.1.1.103); K15789 threonine 3-dehydrogenase [EC:1.1.1.103]
dre:100142634	sc:d156
dre:447935	tceb1a, tceb1, zgc:101879; transcription elongation factor B (SIII), polypeptide 1a
dre:556318	noxa1, zgc:110089; NADPH oxidase activator 1
dre:494454	fgf5; fibroblast growth factor 5; K04358 fibroblast growth factor
dre:751786	cnga5; cyclic nucleotide gated channel alpha 5; K04949 cyclic nucleotide gated channel alpha 2
dre:554985	gdi1, zgc:110600; GDP dissociation inhibitor 1; K17255 Rab GDP dissociation inhibitor
dre:564423	vsig8b, si:ch211-145m1.1; V-set and immunoglobulin domain containing 8b
dre:415190	zgc:86896; K05757 actin related protein 2/3 complex, subunit 1A/1B
dre:564373	fd19g12, wu:fd19g12; zgc:165539
dre:436759	rpl38, wu:fb06b10, zgc:92860; ribosomal protein L38; K02923 large subunit ribosomal protein L38e
dre:445228	zgc:100951
dre:322545	cyp2x10.2, wu:fb64f09, zgc:136371; cytochrome P450, family 2, subfamily X, polypeptide 10.2
dre:325242	dtnba, GDTN, dtnb, dtng, gtnb, wu:fc61h11; dystrobrevin, beta a
dre:100001158	zgc:162060
dre:406462	orc4, fc50c03, wu:fc50c03, zgc:85772; origin recognition complex, subunit 4; K02606 origin recognition complex subunit 4
dre:393671	cabp5a, zgc:73060; calcium binding protein 5a
dre:564048	plekhm1, wu:fc17c08, wu:fc23c01, wu:fc29h10, zgc:158281; pleckstrin homology domain containing, family M (with RUN domain) member 1
dre:494571	nitr7a, nitr7.2, nitr7.3, nitr7.7, nitr7.9, nitr7a_1; novel immune-type receptor 7a
dre:553628	ftr43, zgc:110566; finTRIM family, member 43
dre:554014	pcdh1g30, DrPcdh1g26; protocadherin 1 gamma 30
dre:406850	tmem50a, fj33b04, wu:fj33b04, zgc:55322; transmembrane protein 50A
dre:334273	pls1, wu:fi38g03, zgc:63494; plastin 1 (I isoform); K17275 plastin-1
dre:751699	minos1, wu:fj49a01, zgc:153623; mitochondrial inner membrane organizing system 1; K17784 mitochondrial inner membrane organizing system protein 1
dre:570187	fd14c11, wu:fd14c11, zgc:112971; si:dkeyp-34c12.1
dre:393170	mitd1, zgc:56159; MIT, microtubule interacting and transport, domain containing 1
dre:568879	rnf34b, zgc:171755; ring finger protein 34b
dre:564166	txlnbb, zgc:162968; taxilin beta b
dre:553191	tubgcp5, wu:fa03b04, wu:fe01d03, zgc:110217; tubulin, gamma complex associated protein 5; K16572 gamma-tubulin complex component 5
dre:387301	p2rx4b, p2rx4.2, p2xr4.2; purinergic receptor P2X, ligand-gated ion channel, 4b; K05218 P2X purinoceptor 4
dre:100137122	zgc:172065
dre:100500702	g6fl; g6f-like
dre:334070	fi29h02, wu:fi29h02; zgc:162958
dre:794123	si:dkey-211g8.7
dre:394120	nudt3a, NUDT3, zgc:55746; nudix (nucleoside diphosphate linked moiety X)-type motif 3a (EC:3.6.1.52); K07766 diphosphoinositol-polyphosphate diphosphatase [EC:3.6.1.52]
dre:368816	MHCII, si:busm1-160c18.10, si:dz160c18.10, si:dz194e12.8, zgc:101701; si:busm1-194e12.8; K06752 major histocompatibility complex, class II
dre:100001316	gosr1, zgc:112064; golgi SNAP receptor complex member 1; K08495 golgi SNAP receptor complex member 1
dre:335232	prkab1b, prkab1, wu:fk93d05, wu:fw87e09, zgc:56652, zgc:76975; protein kinase, AMP-activated, beta 1 non-catalytic subunit, b; K07199 5'-AMP-activated protein kinase, regulatory beta subunit
dre:568565	kcnk2b, si:dkey-121j17.4, zgc:123268; potassium channel, subfamily K, member 2b; K04913 potassium channel subfamily K member 2
dre:553673	zgc:112038
dre:368288	rassf7b, sb:cb262, zgc:55456; Ras association (RalGDS/AF-6) domain family (N-terminal) member 7b; K09855 Ras association domain-containing protein 7/8
dre:561832	lpgat1, fc21c12, fj66b10, si:dkey-30h14.2, wu:fc21c12, wu:fj66b10, zgc:112278; lysophosphatidylglycerol acyltransferase 1; K13514 lysophosphatidylglycerol acyltransferase 1 [EC:2.3.1.-]
dre:450058	si:ch211-243a20.2; zgc:101679
dre:550260	zgc:112408; K17286 erythrocyte band 7 integral membrane protein
dre:445289	kras, wu:fa04e08, wu:fc14b12, wu:fc23g10, wu:fj89d12, zgc:85725; v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog; K07827 GTPase KRas
dre:100310830	gphb5, gpb5, si:dkeyp-77c8.7; glycoprotein hormone beta 5
dre:561061	zmiz1a, wu:fb80e10, zgc:175159, zmiz1; zinc finger, MIZ-type containing 1a
dre:571594	si:dkey-13e3.1
dre:572785	sf1, wu:fc09f06, znf162; splicing factor 1; K13095 splicing factor 1
dre:100310882	gpha2, gpa2; glycoprotein hormone alpha 2
dre:553541	or115-7, Olfr935, zgc:122992; odorant receptor, family F, subfamily 115, member 7; K04257 olfactory receptor
dre:553542	zgc:109889; K06083 WAS protein family, member 3
dre:393481	cyp2k6, zgc:66225; cytochrome P450, family 2, subfamily K, polypeptide 6; K17854 cytochrome P450, family 2, subfamily K
dre:474351	trpa1a, ANKTM1, trpa1; transient receptor potential cation channel, subfamily A, member 1a; K04984 transient receptor potential cation channel subfamily A member 1
dre:557032	zgc:152726; si:dkeyp-89c11.3
dre:323975	pcdh1g22, fc15h06, fj64d07, wu:fc15h06, wu:fj64d07, zgc:73319; protocadherin 1 gamma 22; K16497 protocadherin gamma subfamily C
dre:767707	zgc:153901
dre:100331481	psmb11b; proteasome subunit beta 5tb; K11598 20S proteasome subunit beta 11 [EC:3.4.25.1]
dre:100124616	zgc:171927
dre:678539	or115-6, zgc:136581; odorant receptor, family F, subfamily 115, member 6
dre:100884152	dicp2.2; diverse immunoglobulin domain-containing protein 2.2
dre:100124603	zgc:171951
dre:393273	zgc:56676; K03113 translation initiation factor 1
dre:654782	prlhr2a, v2r1; prolactin releasing hormone receptor 2a; K04314 prolactin releasing hormone receptor
dre:570956	sgk2a, fm82b06, sgk2, wu:fm82b06, zgc:172111, zgc:198213; serum/glucocorticoid regulated kinase 2a (EC:2.7.11.1); K13303 serum/glucocorticoid-regulated kinase 2 [EC:2.7.11.1]
dre:692249	grnas; granulin antisense
dre:100415796	ugt5b5p, Ugt5b5; UDP glucuronosyltransferase 5 family, pseudogene B5
dre:553974	slc34a2aas; solute carrier family 34 (sodium phosphate), member 2a antisense
dre:353152	mc2r; melanocortin 2 receptor; K04200 melanocortin 2 receptor
dre:553718	nefma, zgc:112359; neurofilament, medium polypeptide a; K04573 neurofilament medium polypeptide (neurofilament 3)
dre:560400	actn1; actinin, alpha 1; K05699 actinin alpha
dre:393930	bhlhe22, Beta3.1, bhlhb5, wu:fq25e11, zgc:64225; basic helix-loop-helix family, member e22; K09086 class B basic helix-loop-helix protein 4/5
dre:777730	cdk4, zgc:153726; cyclin-dependent kinase 4 (EC:2.7.11.22); K02089 cyclin-dependent kinase 4 [EC:2.7.11.22]
dre:436970	denr, im:6891640, zgc:113309, zgc:92629; density-regulated protein
dre:393827	wdr61, zgc:77675; WD repeat domain 61; K12602 WD repeat-containing protein 61
dre:402956	emc4, tmem85, zgc:77852; ER membrane protein complex subunit 4
dre:325319	ccdc102a, fc66e01, wu:fc66e01, zgc:77294; coiled-coil domain containing 102A; K16759 coiled-coil domain-containing protein 102A
dre:334065	rnf146, wu:fi29e08, zgc:55909; ring finger protein 146 (EC:6.3.2.-); K15700 E3 ubiquitin-protein ligase RNF146 [EC:2.3.2.27]
dre:393578	ufl1, zgc:63562; UFM1-specific ligase 1 (EC:6.3.2.-)
dre:445231	nup85, pcnt1, zgc:100943; nucleoporin 85; K14304 nuclear pore complex protein Nup85
dre:406632	rqcd1, wu:fb52b11, wu:fb74e08, zgc:85618; RCD1 required for cell differentiation1 homolog (S. pombe); K12606 CCR4-NOT transcription complex subunit 9
dre:553685	cyb5r4, im:4727699, zgc:112177; cytochrome b5 reductase 4 (EC:1.6.2.2); K00326 cytochrome-b5 reductase [EC:1.6.2.2]
dre:368256	paqr7b, mpra, paqr7; progestin and adipoQ receptor family member VII, b
dre:550275	ptcd2, zgc:112401; pentatricopeptide repeat domain 2; K17711 pentatricopeptide repeat domain-containing protein 2
dre:550358	id:ibd2861, si:ch211-238a12.2; zgc:112052
dre:405829	dpydb, dpyd, zgc:77205; dihydropyrimidine dehydrogenase b (EC:1.3.1.2); K00207 dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2]
dre:402899	tada1, STAF42, tada1l, zgc:85851; transcriptional adaptor 1; K11317 transcriptional adapter 1
dre:406577	plekhj1, zgc:77177; pleckstrin homology domain containing, family J member 1
dre:368418	slc35a5, si:bz20i5.1, zgc:66231; solute carrier family 35, member A5; K15274 solute carrier family 35 (probable UDP-sugar transporter), member A5
dre:450045	tssc1, zgc:101720; tumor suppressing subtransferable candidate 1
dre:30722	gnb2l1, rack1, wu:fb80d08, wu:fk65d12; guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1; K14753 guanine nucleotide-binding protein subunit beta-2-like 1 protein
dre:550283	tmem256, zgc:110256; transmembrane protein 256
dre:393145	tmem38b, zgc:55815; transmembrane protein 38B
dre:497615	fut10, zgc:195147; fucosyltransferase 10 (EC:2.4.1.-); K09669 alpha-1,3-fucosyltransferase 10 [EC:2.4.1.-]
dre:393457	zgpat, zgc:63730; zinc finger, CCCH-type with G patch domain
dre:406554	lycat, lclat1, wu:fj17g04, zgc:77380; lysocardiolipin acyltransferase (EC:2.3.1.51); K13513 lysocardiolipin and lysophospholipid acyltransferase [EC:2.3.1.- 2.3.1.51]
dre:402963	znf830; zgc:77398; K13104 zinc finger protein 830
dre:393721	pin1, zgc:73206; protein (peptidyl-prolyl cis/trans isomerase) NIMA-interacting 1 (EC:5.2.1.8); K09578 peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 [EC:5.2.1.8]
dre:541415	zgc:101577
dre:79375	foxc1b, foxc1.2, id:ibd5079; forkhead box C1b
dre:492786	brox, si:ch211-14a11.3, zgc:101706; BRO1 domain and CAAX motif containing
dre:405857	msrb2, zgc:85965; methionine sulfoxide reductase B2 (EC:1.8.4.-); K07305 peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]
dre:402923	dmrt1, zgc:136676; doublesex and mab-3 related transcription factor 1; K19488 doublesex- and mab-3-related transcription factor 1
dre:100151626	tatdn1, zgc:92362; TatD DNase domain containing 1 (EC:3.1.21.-); K03424 TatD DNase family protein [EC:3.1.21.-]
dre:30173	nog3; noggin 3; K04658 noggin
dre:326935	ier5l, fe50b07, wu:fe50b07, zgc:73321, zgc:77455; immediate early response 5-like
dre:393519	purbb, purb, zgc:65916; purine-rich element binding protein Bb
dre:386589	hopx, hop; HOP homeobox
dre:553678	dctn6, hm:zeh0038; zgc:112102; K10428 dynactin 6
dre:449999	ccdc149a, ccdc149b, zgc:103485; coiled-coil domain containing 149a
dre:404606	pithd1, zgc:77241; PITH (C-terminal proteasome-interacting domain of thioredoxin-like) domain containing 1
dre:393152	zgc:55908; strumpellin; K18464 WASH complex subunit strumpellin
dre:393607	apbb1ip, zgc:63968; amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein; K17704 amyloid beta A4 precursor protein-binding family B member 1-interacting protein
dre:393574	cep63, zgc:63548; centrosomal protein 63; K16763 centrosomal protein CEP63
dre:550421	znf367, habp4, zgc:112157; zinc finger protein 367
dre:393750	tbc1d7, zgc:73291; TBC1 domain family, member 7
dre:30556	tcf7l1b, tcf3b; transcription factor 7-like 1b (T-cell specific, HMG-box)
dre:327613	fem1a, fi20c04, wu:fi20c04, zgc:63483; fem-1 homolog a (C. elegans)
dre:791222	mesdc2, zgc:158636; mesoderm development candidate 2
dre:768205	stpg2, zgc:153987; sperm-tail PG-rich repeat containing 2
dre:751702	zgc:153146
dre:100002802	ppp2r2ca, ppp2r2c, zgc:123166; protein phosphatase 2, regulatory subunit B, gamma a (EC:3.1.3.16); K04354 serine/threonine-protein phosphatase 2A regulatory subunit B
dre:566425	ano10a, ano10, zgc:114140; anoctamin 10a; K19327 anoctamin-10
dre:393779	rprmb, rprm, zgc:73361; reprimo, TP53 dependent G2 arrest mediator candidate b
dre:550400	prr15lb, atad4b, zgc:112203; proline rich 15-like b
dre:678587	st7, zgc:136822; suppression of tumorigenicity 7
dre:767761	znrf2b, zgc:152865, znrf2; zinc and ring finger 2b (EC:6.3.2.-); K10694 E3 ubiquitin-protein ligase ZNRF1/2 [EC:2.3.2.27]
dre:767808	trappc2, zgc:152903; trafficking protein particle complex 2
dre:447934	lin7c, fb75b09, wu:fb75b09, zgc:101881; lin-7 homolog C (C. elegans); K19931 protein lin-7
dre:394116	UBL5; zgc:66388; K13113 ubiquitin-like protein 5
dre:791169	creb3l2, zgc:158603; cAMP responsive element binding protein 3-like 2; K09048 cyclic AMP-responsive element-binding protein 3
dre:791216	endou, endoua, zgc:158628; endonuclease, polyU-specific; K14648 poly(U)-specific endoribonuclease [EC:3.1.-.-]
dre:393659	mtfp1, zgc:63910; mitochondrial fission process 1; K17981 mitochondrial fission process protein 1
dre:550418	zgc:112163
dre:560896	gdpgp1; zgc:153343 (EC:2.7.7.78); K15630 GDP-D-glucose phosphorylase [EC:2.7.7.78]
dre:751740	anapc15, APC15, zgc:153425; anaphase promoting complex subunit 15
dre:563097	dytn, im:7155274; dystrotelin
dre:550484	leprot, OB-RGRP, zgc:112430; leptin receptor overlapping transcript
dre:561208	tmem41b, wu:fc18g11, wu:fk58a07, zgc:158275; transmembrane protein 41B
dre:567560	med17, crsp6, zgc:153983, zgc:73307; mediator complex subunit 17; K15133 mediator of RNA polymerase II transcription subunit 17
dre:751733	dcakd, zgc:153150; dephospho-CoA kinase domain containing
dre:449652	tmem56b, tmem56, zgc:92864; transmembrane protein 56b
dre:406606	ube2f, zgc:77005; ubiquitin-conjugating enzyme E2F (putative) (EC:6.3.2.-); K10687 ubiquitin-conjugating enzyme E2 F [EC:2.3.2.23]
dre:567341	fam167ab, fam167a, si:ch211-261f7.2, zgc:158121; family with sequence similarity 167, member Ab
dre:564926	cep76, zgc:162328; centrosomal protein 76; K16457 centrosomal protein CEP76
dre:796767	hspb11, cb02d06, mg:cb02d06; heat shock protein, alpha-crystallin-related, b11
dre:406240	mtpn, wu:fa10f07, zgc:64078; myotrophin
dre:64671	cmlc1, zgc:103441; cardiac myosin light chain-1
dre:405783	ostf1, zgc:86718; osteoclast stimulating factor 1
dre:393295	zgc:77458; zgc:56409
dre:326734	tlk1b, fe11e12, si:dkey-251e16.4, tlk1, wu:fe11e12; tousled-like kinase 1b (EC:2.7.11.1); K08864 tousled-like kinase [EC:2.7.11.1]
dre:541346	hdhd2, zgc:110332; haloacid dehalogenase-like hydrolase domain containing 2
dre:494100	nabp1a, nabp1, obfc2a, obfc2aa, wu:fc60e10, wu:fi33c08, zgc:101644; nucleic acid binding protein 1a
dre:557675	c1galt1a, wu:fi11c09, zgc:153355; core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1a (EC:2.4.1.122); K00731 glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase [EC:2.4.1.122]
dre:393513	zgc:85904; zgc:66101 (EC:2.7.11.1); K19009 serine/threonine-protein kinase SIK3 [EC:2.7.11.1]
dre:100006442	slc25a47b, hdmcpb, zgc:162249; solute carrier family 25, member 47b; K15123 solute carrier family 25, member 45/47
dre:553613	mfsd7, zgc:110376; major facilitator superfamily domain containing 7; K12306 MFS transporter, FLVCR family, MFS-domain-containing protein 7
dre:553964	il22; interleukin 22
dre:447912	vac14, fb68e05, wu:fb68e05, zgc:100945; vac14 homolog (S. cerevisiae); K15305 vacuole morphology and inheritance protein 14
dre:406826	emc3, pob, tmem111, wu:fi32f05, wu:fj63h08, zgc:63727; ER membrane protein complex subunit 3
dre:100073335	rprml, zgc:165459; reprimo-like
dre:791890	rnaset2, dre2, wu:fc10c06, zgc:113369; ribonuclease T2 (EC:3.1.27.1); K01166 ribonuclease T2 [EC:3.1.27.1]
dre:140814	cebpb, c/ebpb, cb380, fe11e05, wu:fe11e05; CCAAT/enhancer binding protein (C/EBP), beta; K10048 CCAAT/enhancer binding protein (C/EBP), beta
dre:767651	med19a, zgc:153400; mediator complex subunit 19a; K15137 mediator of RNA polymerase II transcription subunit 19
dre:100101649	amer2, fam123a, zgc:165647; APC membrane recruitment protein 2
dre:570504	speg, apeg1, fc31c10, im:6912258, wu:fc31c10; SPEG complex locus (EC:2.7.11.1); K08809 striated muscle-specific serine/threonine protein kinase [EC:2.7.11.1]
dre:415186	yipf6, zgc:86904; Yip1 domain family, member 6
dre:553599	fign, zgc:110229; fidgetin
dre:570989	rfx3, zgc:153245; regulatory factor X, 3 (influences HLA class II expression); K09173 regulatory factor X 1/2/3
dre:557801	il1rapl1b; interleukin 1 receptor accessory protein-like 1b; K05170 interleukin 1 receptor accessory protein-like
dre:553682	napba, zgc:112161; N-ethylmaleimide-sensitive factor attachment protein, beta a
dre:553614	itih3a, zgc:110377; inter-alpha-trypsin inhibitor heavy chain 3a
dre:780843	rilpl1, wu:fj63e01, zgc:158490; Rab interacting lysosomal protein-like 1
dre:560202	ghrb, ghr.b; growth hormone receptor b
dre:100004913	phyhiplb, phyhipl, zgc:100983; phytanoyl-CoA 2-hydroxylase interacting protein-like b
dre:100137113	zgc:171474
dre:556348	ctxn2, fj35c01, wu:fj35c01; cortexin 2
dre:100302659	cenpa; histone H3-like centromeric protein A
dre:777744	rab3gap1, fj56a04, rab3gap, wu:fj56a04, zgc:152826; RAB3 GTPase activating protein subunit 1; K18270 Rab3 GTPase-activating protein catalytic subunit
dre:30661	mtnr1c, mel1c; melatonin receptor 1C
dre:30713	npy8br, npyryb, zgc:194624, zgc:194648, zyb; neuropeptide Y receptor Y8b; K04204 neuropeptide Y receptor type 1
dre:798580	tmem120b, zgc:110614; transmembrane protein 120B
dre:406567	fggy, zgc:85818; FGGY carbohydrate kinase domain containing (EC:2.7.1.-)
dre:541417	pgap2, frag1, wu:fc51g11, zgc:101568; post-GPI attachment to proteins 2
dre:449918	cnot10, im:7139356, zgc:152939; CCR4-NOT transcription complex, subunit 10; K12607 CCR4-NOT transcription complex subunit 10
dre:100033579	mir19d, dre-mir-19d; microRNA 19d; K17005 microRNA 19
dre:751755	exd1, zgc:154068; exonuclease 3'-5' domain containing 1; K18740 exonuclease 3'-5' domain-containing protein 1
dre:266754	adra2da; adrenergic, alpha-2D-, receptor a; K04140 adrenergic receptor alpha-2C
dre:553403	kctd12.2, ron; potassium channel tetramerisation domain containing 12.2
dre:554861	actr2b, actr2, zgc:110550; ARP2 actin-related protein 2b homolog (yeast); K17260 actin-related protein 2
dre:266755	adra2db, zgc:194662; adrenergic, alpha-2D-, receptor b; K04140 adrenergic receptor alpha-2C
dre:574426	tmem128, zgc:110421; transmembrane protein 128
dre:393615	Prorsd1, prdxdd1; zgc:64201
dre:402962	lhfpl2a, lhfpl2, zgc:77456; lipoma HMGIC fusion partner-like 2a
dre:406288	srsf1a, sfrs1a, sfrs1l, wu:fb52g10, wu:fb97g12, zgc:66146; serine/arginine-rich splicing factor 1a; K12890 splicing factor, arginine/serine-rich 1/9
dre:432388	lrrc6, lrrc6l; leucine rich repeat containing 6; K19753 protein TilB
dre:678557	slc25a24l, zgc:136678; solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 24, like
dre:64270	epha4b, EphA3, epha4, rtk2; eph receptor A4b; K05105 Eph receptor A4 [EC:2.7.10.1]
dre:286833	mc4r, MC4-R, si:dkey-151m6.62, zMC4; melanocortin 4 receptor; K04202 melanocortin 4 receptor
dre:321133	nop14, Nop14-like, c4orf9, cb168, ik:tdsubc_1a2, nol14, sb:cb168, xx:tdsubc_1a2, zgc:92141; NOP14 nucleolar protein homolog (yeast); K14766 nucleolar protein 14
dre:335573	ptpn6, Hcph, SHP1, fj22f05, wu:fj22f05, zgc:55501; protein tyrosine phosphatase, non-receptor type 6 (EC:3.1.3.48); K05697 tyrosine-protein phosphatase non-receptor type 6 [EC:3.1.3.48]
dre:393596	wdr46, Bing4-like, bing4, c6orf11l, zgc:63793; WD repeat domain 46; K14768 U3 small nucleolar RNA-associated protein 7
dre:415165	ccne2, cb165, sb:cb165, zgc:86724; cyclin E2; K06626 cyclin E
dre:100884142	kiaa0586; si:ch211-185a18.2
dre:402842	hsd17b1; hydroxysteroid (17-beta) dehydrogenase 1 (EC:1.1.1.62); K00044 17beta-estradiol 17-dehydrogenase [EC:1.1.1.62]
dre:403125	tlr2; toll-like receptor 2; K10159 toll-like receptor 2
dre:403128	tlr9; toll-like receptor 9; K10161 toll-like receptor 9
dre:100005325	scn1bb; sodium channel, voltage-gated, type I, beta b; K04845 voltage-gated sodium channel type I beta
dre:30398	pou3f1, pou50, wu:fc09d06, zp-50, zp50, zp50pou; POU class 3 homeobox 1; K09365 POU domain transcription factor, class 3
dre:406531	arl4cb, arl7, fc01g11, fj62h11, wu:fc01g11, wu:fj62h11, zgc:77633; ADP-ribosylation factor-like 4Cb; K07945 ADP-ribosylation factor-like protein 4
dre:81589	cldnj, fc30g01, wu:fc30g01; claudin j; K06087 claudin
dre:415229	rpl11, zgc:86748; ribosomal protein L11; K02868 large subunit ribosomal protein L11e
dre:81593	cldn12, wu:fc27c11, wu:fc37h01, zgc:86588; claudin 12
dre:81580	cldna, fb99d09, wu:fb99d09; claudin a; K06087 claudin
dre:751666	zgc:153311
