mmu:106740	no KO assigned | (RefSeq) uncharacterized LOC106740
mmu:100526482	no KO assigned | (RefSeq) Mir466o, Mir4660, mmu-mir-466o; microRNA 466o
mmu:100316707	no KO assigned | (RefSeq) Mir1957a, Mir1957, mmu-mir-1957, mmu-mir-1957a; microRNA 1957a
mmu:723830	K17366 microRNA 28 | (RefSeq) Mir28a, Mir28, Mirn28, mmu-mir-28, mmu-mir-28a; microRNA 28a
mmu:235854	no KO assigned | (RefSeq) Mrgpra4, Mgrg10, MrgA4; MAS-related GPR, member A4
mmu:15228	K09385 forkhead box protein G | (RefSeq) Foxg1, 2900064B05Rik, BF-1, Bf1, Hfh9, Hfhbf1; forkhead box G1
mmu:239650	no KO assigned | (RefSeq) Ccdc184, 5630400A08, AI836003; coiled-coil domain containing 184
mmu:21956	K12045 troponin T, cardiac muscle | (RefSeq) Tnnt2, Tnt, cTnT; troponin T2, cardiac
mmu:18121	K04658 noggin | (RefSeq) Nog; noggin
mmu:20675	K09267 transcription factor SOX1/3/14/21 (SOX group B) | (RefSeq) Sox3, Sox-3; SRY (sex determining region Y)-box 3
mmu:50914	K09085 class B basic helix-loop-helix protein 1/6/7 | (RefSeq) Olig1, AI836478, AW494459, Bhlhb6, Olg-1, Oligo1, bHLHe21; oligodendrocyte transcription factor 1
mmu:12569	K11716 cyclin-dependent kinase 5 activator 1 | (RefSeq) Cdk5r1, Cdk5r, D11Bwg0379e, p25, p35; cyclin-dependent kinase 5, regulatory subunit 1 (p35)
mmu:21674	K09266 sex-determining region Y protein (SOX group A) | (RefSeq) Sry, Tdf, Tdy; sex determining region of Chr Y
mmu:80885	K08402 G protein-coupled receptor 109 | (RefSeq) Hcar2, Gpr109a, Gpr109b, HM74, Niacr1, PUMA-G, Pumag, mHM74b; hydroxycarboxylic acid receptor 2
mmu:93971	no KO assigned | (RefSeq) Klra19, Ly49s; killer cell lectin-like receptor, subfamily A, member 19
mmu:22114	K08811 testis-specific serine kinase [EC:2.7.11.1] | (RefSeq) Tssk1, Stk22a, TSK-1, Tsk1, Tssk, Tssk1b; testis-specific serine kinase 1
mmu:18993	K09365 POU domain transcription factor, class 3 | (RefSeq) Pou3f3, Brn-1, Brn1, Otf8, Skin1; POU domain, class 3, transcription factor 3
mmu:26421	no KO assigned | (RefSeq) Prl2c4, MRP-3, Mrpplf3, PLF-3, mrp/plf3; prolactin family 2, subfamily c, member 4
mmu:13216	K05230 defensin, alpha | (RefSeq) Defa1, Defcr, Defcr1; defensin, alpha 1
mmu:320178	no KO assigned | (RefSeq) 4921529L05Rik; RIKEN cDNA 4921529L05 gene
mmu:75233	no KO assigned | (RefSeq) 4930532M18Rik; RIKEN cDNA 4930532M18 gene
mmu:231989	no KO assigned | (RefSeq) Gm4872, D430007I03; predicted gene 4872
mmu:100040214	no KO assigned | (RefSeq) Gm10228; predicted gene 10228
mmu:613258	no KO assigned | (RefSeq) A730017L22Rik; RIKEN cDNA A730017L22 gene
mmu:320249	no KO assigned | (RefSeq) D130009I18Rik; RIKEN cDNA D130009I18 gene
mmu:208079	no KO assigned | (RefSeq) A530053G22Rik; RIKEN cDNA A530053G22 gene
mmu:73399	no KO assigned | (RefSeq) 1700060C20Rik; RIKEN cDNA 1700060C20 gene
mmu:71316	no KO assigned | (RefSeq) 4933430M04Rik; RIKEN cDNA 4933430M04 gene
mmu:100038584	no KO assigned | (RefSeq) Gm14812, OTTMUSG00000018066; predicted gene 14812
mmu:100861572	no KO assigned | (RefSeq) snoRNA DQ267102
mmu:100861571	no KO assigned | (RefSeq) snoRNA DQ267101
mmu:100861570	no KO assigned | (RefSeq) snoRNA DQ267100
mmu:74970	no KO assigned | (RefSeq) 4930483O08Rik; RIKEN cDNA 4930483O08 gene
mmu:74930	no KO assigned | (RefSeq) 4930480M12Rik; RIKEN cDNA 4930480M12 gene
mmu:328837	no KO assigned | (RefSeq) C330011F03Rik; RIKEN cDNA C330011F03 gene
mmu:328646	no KO assigned | (RefSeq) Gm16863, A830060N17; predicted gene, 16863
mmu:328324	no KO assigned | (RefSeq) 5930438M14Rik; RIKEN cDNA 5930438M14 gene
mmu:100043169	no KO assigned | (RefSeq) Gm4278; predicted gene 4278
mmu:629393	no KO assigned | (RefSeq) Gm20759; predicted gene, 20759
mmu:75630	no KO assigned | (RefSeq) 1700020G17Rik, 4930480D05Rik; RIKEN cDNA 1700020G17 gene
mmu:74712	no KO assigned | (RefSeq) 4930511A02Rik; RIKEN cDNA 4930511A02 gene
mmu:73867	no KO assigned | (RefSeq) 4930428E07Rik; RIKEN cDNA 4930428E07 gene
mmu:52027	no KO assigned | (RefSeq) D17Ertd648e; DNA segment, Chr 17, ERATO Doi 648, expressed
mmu:71457	no KO assigned | (RefSeq) 7420701I03Rik; RIKEN cDNA 7420701I03 gene
mmu:69679	no KO assigned | (RefSeq) 2310043O21Rik; RIKEN cDNA 2310043O21 gene
mmu:75377	no KO assigned | (RefSeq) 4930597G03Rik; RIKEN cDNA 4930597G03 gene
mmu:69279	no KO assigned | (RefSeq) 1700001D01Rik; RIKEN cDNA 1700001D01 gene
mmu:74092	no KO assigned | (RefSeq) Tbc1d22bos, 0610038L08Rik; TBC1 domain family, member 22B, opposite strand
mmu:76961	no KO assigned | (RefSeq) 2210420H20Rik; RIKEN cDNA 2210420H20 gene
mmu:73400	no KO assigned | (RefSeq) 1700064J06Rik; RIKEN cDNA 1700064J06 gene
mmu:320176	no KO assigned | (RefSeq) D930032P07Rik; RIKEN cDNA D930032P07 gene
mmu:328579	no KO assigned | (RefSeq) B230214G05Rik; RIKEN cDNA B230214G05 gene
mmu:619327	no KO assigned | (RefSeq) G630093K05Rik; RIKEN cDNA G630093K05 gene
mmu:320163	no KO assigned | (RefSeq) 4930525G20Rik; RIKEN cDNA 4930525G20 gene
mmu:73624	no KO assigned | (RefSeq) 1700123O12Rik; RIKEN cDNA 1700123O12 gene
mmu:414124	no KO assigned | (RefSeq) F730035M05Rik; RIKEN cDNA F730035M05 gene
mmu:328186	no KO assigned | (RefSeq) Gm10336, B330003H21; predicted gene 10336
mmu:433047	no KO assigned | (RefSeq) Gm20741; keratin associated protein pseudogene
mmu:380934	no KO assigned | (RefSeq) Gm1591; expressed sequence AA536875
mmu:100504486	no KO assigned | (RefSeq) Gdap10, Gdap-ps; ganglioside-induced differentiation-associated-protein 10
mmu:791361	no KO assigned | (RefSeq) Gm16497; predicted gene 16497
mmu:622894	no KO assigned | (RefSeq) Gm6367, EG622894; predicted gene 6367
mmu:432713	no KO assigned | (RefSeq) Gm5441; predicted gene 5441
mmu:78025	no KO assigned | (RefSeq) 4930540M03Rik; RIKEN cDNA 4930540M03 gene
mmu:75357	no KO assigned | (RefSeq) 4930557J02Rik; RIKEN cDNA 4930557J02 gene
mmu:73639	no KO assigned | (RefSeq) 1700126H18Rik; RIKEN cDNA 1700126H18 gene
mmu:73295	no KO assigned | (RefSeq) 1700047L14Rik; RIKEN cDNA 1700047L14 gene
mmu:622167	no KO assigned | (RefSeq) Gm12718, OTTMUSG00000008109; predicted gene 12718
mmu:545691	no KO assigned | (RefSeq) Fhad1os1, Gm13037, OTTMUSG00000010113; forkhead-associated (FHA) phosphopeptide binding domain 1, opposite strand 1
mmu:75910	no KO assigned | (RefSeq) 4930590L20Rik; RIKEN cDNA 4930590L20 gene
mmu:329844	no KO assigned | (RefSeq) C630028M04Rik; RIKEN cDNA C630028M04 gene
mmu:68400	no KO assigned | (RefSeq) 0610043K17Rik; RIKEN cDNA 0610043K17 gene
mmu:77269	no KO assigned | (RefSeq) 9430019J16Rik; RIKEN cDNA 9430019J16 gene
mmu:73938	no KO assigned | (RefSeq) 4930412B13Rik; RIKEN cDNA 4930412B13 gene
mmu:74945	no KO assigned | (RefSeq) Acss2os, 4930471I20Rik; acyl-CoA synthetase short-chain family member 2, opposite strand
mmu:74702	no KO assigned | (RefSeq) 4930517E11Rik; RIKEN cDNA 4930517E11 gene
mmu:70933	no KO assigned | (RefSeq) 4931402G19Rik; RIKEN cDNA 4931402G19 gene
mmu:75066	no KO assigned | (RefSeq) 4930521E06Rik; RIKEN cDNA 4930521E06 gene
mmu:75203	no KO assigned | (RefSeq) 4930539N22Rik; RIKEN cDNA 4930539N22 gene
mmu:329623	no KO assigned | (RefSeq) Gm11548, E330009D11, OTTMUSG00000002110; predicted gene 11548
mmu:75818	no KO assigned | (RefSeq) 4930478L05Rik; RIKEN cDNA 4930478L05 gene
mmu:626410	no KO assigned | (RefSeq) Gm20755; predicted gene, 20755
mmu:625901	no KO assigned | (RefSeq) Gm6634, EG625901; predicted gene 6634
mmu:622124	no KO assigned | (RefSeq) Gm20750; predicted gene, 20750
mmu:73454	no KO assigned | (RefSeq) 1700063A18Rik; RIKEN cDNA 1700063A18 gene
mmu:330664	no KO assigned | (RefSeq) C230079O03Rik; RIKEN cDNA C230079O03 gene
mmu:100504717	no KO assigned | (RefSeq) Gm12709, OTTMUSG00000008056; predicted gene 12709
mmu:623796	no KO assigned | (RefSeq) Gm12504, OTTMUSG00000007209; prothymosin alpha pseudogene
mmu:432956	no KO assigned | (RefSeq) D030024E09Rik; RIKEN cDNA D030024E09 gene
mmu:107003	no KO assigned | (RefSeq) A330093E20Rik, AU043608; RIKEN cDNA A330093E20 gene
mmu:78605	no KO assigned | (RefSeq) 6430706D22Rik; RIKEN cDNA 6430706D22 gene
mmu:15365	no KO assigned | (RefSeq) Hmga2-ps1, EG666235, Gm7996, Hmgic-ps1, [y]i-c; high mobility group AT-hook 2, pseudogene 1
mmu:100217413	no KO assigned | (RefSeq) Scarna10, MBI-52; small Cajal body-specific RNA 10
mmu:100216535	no KO assigned | (RefSeq) Scarna9, Z32; small Cajal body-specific RNA 9
mmu:69055	no KO assigned | (RefSeq) 1810007D17Rik; RIKEN cDNA 1810007D17 gene
mmu:665931	no KO assigned | (RefSeq) Rplp2-ps1, Gm7852; ribosomal protein, large P2, pseudogene 1
mmu:100529077	no KO assigned | (RefSeq) Snord42b, MBII-287, U42B; small nucleolar RNA, C/D box 42B
mmu:100529076	no KO assigned | (RefSeq) Snord42a, MBII-292, U42A; small nucleolar RNA, C/D box 42A
mmu:100529075	no KO assigned | (RefSeq) Snord100, MBII-429, Z51; small nucleolar RNA, C/D box 100
mmu:100529074	no KO assigned | (RefSeq) Snora33, ACA33, MBI-42; small nucleolar RNA, H/ACA box 33
mmu:100217417	no KO assigned | (RefSeq) Snora34, MBI-89; small nucleolar RNA, H/ACA box 34
mmu:100217416	no KO assigned | (RefSeq) Snora2b, MBI-137; small nucleolar RNA, H/ACA box 2B
mmu:100217418	no KO assigned | (RefSeq) Snora44, MBI-64; small nucleolar RNA, H/ACA box 44
mmu:100217420	no KO assigned | (RefSeq) Snora81, MBI-61; small nucleolar RNA, H/ACA box 81
mmu:100217442	no KO assigned | (RefSeq) Snora30, MBI-26; small nucleolar RNA, H/ACA box 30
mmu:100217449	no KO assigned | (RefSeq) Snora36b, MBI-87; small nucleolar RNA, H/ACA box 36B
mmu:100217450	no KO assigned | (RefSeq) Snora47, MBI-115; small nucleolar RNA, H/ACA box 47
mmu:100039727	no KO assigned | (RefSeq) 1700049E15Rik, Gm15761, OTTMUSG00000026044; RIKEN cDNA 1700049E15 gene
mmu:241051	no KO assigned | (RefSeq) AA619741; PHD finger protein 19 pseudogene
mmu:257924	no KO assigned | (RefSeq) Olfr947-ps1, MOR171-43; olfactory receptor 947, pseudogene 1
mmu:71011	no KO assigned | (RefSeq) 4933401B06Rik; GLE1 RNA export mediator pseudogene
mmu:791378	no KO assigned | (RefSeq) Gm10280; predicted gene 10280
mmu:74724	no KO assigned | (RefSeq) 4930512B01Rik, 4930472D12Rik; RIKEN cDNA 4930512B01 gene
mmu:78547	no KO assigned | (RefSeq) E130304I02Rik; RIKEN cDNA E130304I02 gene
mmu:100037396	no KO assigned | (RefSeq) D030047H15Rik, Gm15924, OTTMUSG00000027889; RIKEN cDNA D030047H15 gene
mmu:100038666	no KO assigned | (RefSeq) Gm12298, OTTMUSG00000005912; predicted gene 12298
mmu:627828	no KO assigned | (RefSeq) Gm6793, EG627828; heterogeneous nuclear ribonucleoprotein A3 pseudogene
mmu:625853	no KO assigned | (RefSeq) Olfr1077-ps1, MOR189-4P, OTTMUSG00000013632; olfactory receptor 1077, pseudogene 1
mmu:100038617	no KO assigned | (RefSeq) Gm10466; predicted gene 10466
mmu:100415784	no KO assigned | (RefSeq) Gm17830; predicted gene, 17830
mmu:100043885	no KO assigned | (RefSeq) Gm4710; predicted gene 4710
mmu:384639	no KO assigned | (RefSeq) Gm5334, EG384639; tetraspanin 7 pseudogene
mmu:407824	no KO assigned | (RefSeq) cDNA sequence BC020402
mmu:378954	no KO assigned | (RefSeq) 3000002C10Rik; glyceraldehyde-3-phosphate dehydrogenase pseudogene
mmu:100316932	no KO assigned | (RefSeq) Snora28, MBI-13; small nucleolar RNA, H/ACA box 28
mmu:627110	no KO assigned | (RefSeq) Tubb2a-ps2, C79445; tubulin, beta 2a, pseudogene 2
mmu:116911	no KO assigned | (RefSeq) Cts8-ps, Cts2-ps; cathepsin 8, pseudogene
mmu:629678	no KO assigned | (RefSeq) Gm6994, EG629678; predicted gene 6994
mmu:100217415	no KO assigned | (RefSeq) Scarna6, MBI-46; small Cajal body-specific RNA 6
mmu:100313943	no KO assigned | (RefSeq) Snora26, MBI-6; small nucleolar RNA, H/ACA box 26
mmu:100313519	no KO assigned | (RefSeq) Snord17, MBI-43; small nucleolar RNA, C/D box 17
mmu:72813	no KO assigned | (RefSeq) 2810454H06Rik; RIKEN cDNA 2810454H06 gene
mmu:100043682	no KO assigned | (RefSeq) Gm10584; predicted gene 10584
mmu:100216538	no KO assigned | (RefSeq) Snord1a, snR38; small nucleolar RNA, C/D box 1A
mmu:100216536	no KO assigned | (RefSeq) Snord1c; small nucleolar RNA, C/D box 1C
mmu:100216531	no KO assigned | (RefSeq) Snord1b; small nucleolar RNA, C/D box 1B
mmu:100217460	no KO assigned | (RefSeq) Snord85, MBII-251, Z50; small nucleolar RNA, C/D box 85
mmu:100217469	no KO assigned | (RefSeq) Snord91a, MBII-296; small nucleolar RNA, C/D box 91A
mmu:100217468	no KO assigned | (RefSeq) Snord45b, MBII-412; small nucleolar RNA, C/D box 45B
mmu:100217466	no KO assigned | (RefSeq) Scarna17, MBII-119; small Cajal body-specific RNA 17
mmu:100217465	no KO assigned | (RefSeq) Snord111, MBII-82; small nucleolar RNA, C/D box 111
mmu:100217464	no KO assigned | (RefSeq) Snora41, MBI-83; small nucleolar RNA, H/ACA box 41
mmu:100217463	no KO assigned | (RefSeq) Snord98, MBII-419; small nucleolar RNA, C/D box 98
mmu:100217459	no KO assigned | (RefSeq) Snord70, MBII-234, snoRNA234; small nucleolar RNA, C/D box 70
mmu:100217458	no KO assigned | (RefSeq) Snord67, MBII-166; small nucleolar RNA, C/D box 67
mmu:100217457	no KO assigned | (RefSeq) Snord58b, MBII-199; small nucleolar RNA, C/D box 58B
mmu:100217456	no KO assigned | (RefSeq) Snord53, MBII-35; small nucleolar RNA, C/D box 53
mmu:100217455	no KO assigned | (RefSeq) Snord49a, MBII-243; small nucleolar RNA, C/D box 49A
mmu:100217454	no KO assigned | (RefSeq) Snord37, MBII-376; small nucleolar RNA, C/D box 37
mmu:100217453	no KO assigned | (RefSeq) Snord16a, MBII-98; small nucleolar RNA, C/D box 16A
mmu:100217452	no KO assigned | (RefSeq) Snord110, MBII-55; small nucleolar RNA, C/D box 110
mmu:100217451	no KO assigned | (RefSeq) Snora7a, MBI-141; small nucleolar RNA, H/ACA box 7A
mmu:100217448	no KO assigned | (RefSeq) Scarna8, MBI-57; small Cajal body-specific RNA 8
mmu:100217447	no KO assigned | (RefSeq) Scarna3b, MBI-100; small Cajal body-specific RNA 3B
mmu:100217446	no KO assigned | (RefSeq) Snord47, MBII-96; small nucleolar RNA, C/D box 47
mmu:100217445	no KO assigned | (RefSeq) Snord8, MBII-28; small nucleolar RNA, C/D box 8
mmu:100217444	no KO assigned | (RefSeq) Snord65, MBII-135, snoRNA135; small nucleolar RNA, C/D box 65
mmu:100217443	no KO assigned | (RefSeq) Snord12, MBII-99; small nucleolar RNA, C/D box 12
mmu:100217441	no KO assigned | (RefSeq) Snord23, MBII-115; small nucleolar RNA, C/D box 23
mmu:100217438	no KO assigned | (RefSeq) Scarna2, MBII-382; small Cajal body-specific RNA 2
mmu:100217437	no KO assigned | (RefSeq) Snord99, MBII-420; small nucleolar RNA, C/D box 99
mmu:100217436	no KO assigned | (RefSeq) Snord93, Gm22397, MBII-336; small nucleolar RNA, C/D box 93
mmu:100217435	no KO assigned | (RefSeq) Snord90, MBII-295; small nucleolar RNA, C/D box 90
mmu:100217434	no KO assigned | (RefSeq) Snord88c, MBII-180; small nucleolar RNA, C/D box 88C
mmu:100217433	no KO assigned | (RefSeq) Snord88a, MBII-211; small nucleolar RNA, C/D box 88A
mmu:100217432	no KO assigned | (RefSeq) Snord71, MBII-239; small nucleolar RNA, C/D box 71
mmu:100217431	no KO assigned | (RefSeq) Snord69, MBII-210; small nucleolar RNA, C/D box 69
mmu:100217430	no KO assigned | (RefSeq) Snord66, MBII-142, snoRNA142; small nucleolar RNA, C/D box 66
mmu:100217429	no KO assigned | (RefSeq) Snord64, MBII-13; small nucleolar RNA, C/D box 64
mmu:100217428	no KO assigned | (RefSeq) Snord57, MBII-434; small nucleolar RNA, C/D box 57
mmu:100217427	no KO assigned | (RefSeq) Snord52, MBII-297; small nucleolar RNA, C/D box 52
mmu:100217426	no KO assigned | (RefSeq) Snord49b, MBII-252, MBII-366; small nucleolar RNA, C/D box 49B
mmu:100217425	no KO assigned | (RefSeq) Snord45c, MBII-401; small nucleolar RNA, C/D box 45C
mmu:100217424	no KO assigned | (RefSeq) Snord38a, MBII-329; small nucleolar RNA, C/D box 38A
mmu:100217423	no KO assigned | (RefSeq) Snord19, MBII-108; small nucleolar RNA, C/D box 19
mmu:100217421	no KO assigned | (RefSeq) Snord11, MBII-95; small nucleolar RNA, C/D box 11
mmu:100217414	no KO assigned | (RefSeq) Scarna3a, MBI-114; small Cajal body-specific RNA 3A
mmu:100303751	no KO assigned | (RefSeq) Snora31, MBI-161; small nucleolar RNA, H/ACA box 31
mmu:100303746	no KO assigned | (RefSeq) Snora20, MBI-125; small nucleolar RNA, H/ACA box 20
mmu:100303740	no KO assigned | (RefSeq) Snora75, MBI-55; small nucleolar RNA, H/ACA box 75
mmu:100303736	no KO assigned | (RefSeq) Snora35, MBI-36; small nucleolar RNA, H/ACA box 35
mmu:100303647	no KO assigned | (RefSeq) MBII-426; snoRNA AF357359
mmu:320749	no KO assigned | (RefSeq) D630041G03Rik; RIKEN cDNA D630041G03 gene
mmu:103729	no KO assigned | (RefSeq) expressed sequence AI450353
mmu:100302731	no KO assigned | (RefSeq) Snord7; small nucleolar RNA, C/D box 7
mmu:414121	no KO assigned | (RefSeq) E430016F16Rik; RIKEN cDNA E430016F16 gene
mmu:75030	no KO assigned | (RefSeq) 4930503E24Rik; eukaryotic translation initiation factor 3, subunit I pseudogene
mmu:100302601	no KO assigned | (RefSeq) Snord83b, MBII-10; small nucleolar RNA, C/D box 83B
mmu:100302600	no KO assigned | (RefSeq) Snord43, MBII-47; small nucleolar RNA, C/D box 43
mmu:100302567	no KO assigned | (RefSeq) MBI-142; snoRNA AF357399
mmu:100302565	no KO assigned | (RefSeq) Snord68, MBII-202; small nucleolar RNA, C/D box 68
mmu:68386	no KO assigned | (RefSeq) 0610039K10Rik; RIKEN cDNA 0610039K10 gene
mmu:100302529	no KO assigned | (RefSeq) Snord72, MBII-240; small nucleolar RNA, C/D box 72
mmu:100302499	no KO assigned | (RefSeq) Snora3, MBI-28; small nucleolar RNA, H/ACA box 3
mmu:100302498	no KO assigned | (RefSeq) Snora21, MBI-3; small nucleolar RNA, H/ACA box 21
mmu:68204	no KO assigned | (RefSeq) 2900060B14Rik; RIKEN cDNA 2900060B14 gene
mmu:654796	no KO assigned | (RefSeq) RIKEN cDNA 9530036O11Rik
mmu:100045653	no KO assigned | (RefSeq) Gm17769; predicted gene, 17769
mmu:71304	no KO assigned | (RefSeq) Wbscr25, 4933433J03Rik, 4933439O14Rik; Williams Beuren syndrome chromosome region 25 (human)
mmu:75809	no KO assigned | (RefSeq) 4930488L21Rik, 4930452J22Rik; RIKEN cDNA 4930488L21 gene
mmu:331480	no KO assigned | (RefSeq) Gm5126, EG331480; predicted pseudogene 5126
mmu:100040248	no KO assigned | (RefSeq) Gm11563, 2310045F10Rik, OTTMUSG00000002200; predicted gene 11563
mmu:353373	no KO assigned | (RefSeq) Rnu11, MBII-407, Mirn801, mir-801, mmu-mir-801; U11 small nuclear RNA
mmu:629159	no KO assigned | (RefSeq) 1700008J07Rik, AW048743; RIKEN cDNA 1700008J07 gene
mmu:619665	K09208 krueppel-like factor 9/13/14/16 | (RefSeq) Klf14, 5330411L03Rik, AL022736, BTEB5; Kruppel-like factor 14
mmu:383563	K08405 G protein-coupled receptor 25 | (RefSeq) Gpr25, Gm1300; G protein-coupled receptor 25
mmu:77633	no KO assigned | (RefSeq) 4930594C11Rik; G1 to S phase transition pseudogene
mmu:74662	no KO assigned | (RefSeq) 4930448K20Rik, 1700009K09Rik; glyceraldehyde-3-phosphate dehydrogenase pseudogene
mmu:195555	no KO assigned | (RefSeq) Pramef6, Gm13099, OTTMUSG00000010429; PRAME family member 6
mmu:664849	no KO assigned | (RefSeq) Gm7367, EG664849; 1110014K08Rik pseudogene
mmu:100134990	no KO assigned | (RefSeq) Gm12060, OTTMUSG00000005275; selenoprotein K pseudogene
mmu:668272	no KO assigned | (RefSeq) Gm9079; transmembrane emp24 domain trafficking protein 2 pseudogene
mmu:665615	no KO assigned | (RefSeq) Gm7714, EG665615; predicted gene 7714
mmu:258536	K04257 olfactory receptor | (RefSeq) Olfr1360, MOR256-10, MOR256-35; olfactory receptor 1360
mmu:104367	no KO assigned | (RefSeq) Snora65, MBII-351, Rnu65; small nucleolar RNA, H/ACA box 65
mmu:258259	K04257 olfactory receptor | (RefSeq) Olfr1338, MOR259-4P, MOR259-9, Olfr1524-ps1; olfactory receptor 1338
mmu:432987	no KO assigned | (RefSeq) Gm5478, EG432987; predicted pseudogene 5478
mmu:73353	no KO assigned | (RefSeq) Actrt2, 1700052K15Rik, Arp-T2, Arpm2; actin-related protein T2
mmu:14723	K06261 platelet glycoprotein Ib alpha chain | (RefSeq) Gp1ba, GPIba, GPIbalpha; glycoprotein 1b, alpha polypeptide
mmu:100113364	no KO assigned | (RefSeq) Snora15, MBI-79; small nucleolar RNA, H/ACA box 15
mmu:108950	no KO assigned | (RefSeq) 1700049L16Rik; hematological and neurological expressed 1-like pseudogene
mmu:436332	no KO assigned | (RefSeq) Gm5766, EG436332; ribosomal protein L7a pseudogene
mmu:546723	no KO assigned | (RefSeq) Ppp1r2-ps3, EG546723, Gm5972; protein phosphatase 1, regulatory (inhibitor) subunit 2, pseudogene 3
mmu:77781	no KO assigned | (RefSeq) Epm2aip1, A930003G21Rik, mKIAA0766; EPM2A (laforin) interacting protein 1
mmu:66755	no KO assigned | (RefSeq) 4933415F23Rik; RIKEN cDNA 4933415F23 gene
mmu:93967	no KO assigned | (RefSeq) Klra20, Ly49t; killer cell lectin-like receptor subfamily A, member 20
mmu:435565	no KO assigned | (RefSeq) Iigp1b; interferon inducible GTPase 1B
mmu:664724	no KO assigned | (RefSeq) Cypt9; cysteine-rich perinuclear theca 9
mmu:664726	no KO assigned | (RefSeq) Cypt10; cysteine-rich perinuclear theca 10
mmu:664723	no KO assigned | (RefSeq) Cypt8; cysteine-rich perinuclear theca 8
mmu:19861	no KO assigned | (RefSeq) Rnu3b4, 1810064A23Rik, Rnu3b-4; U3B small nuclear RNA 4
mmu:664725	no KO assigned | (RefSeq) Cypt7; cysteine-rich perinuclear theca 7
mmu:666043	no KO assigned | (RefSeq) Gm7904, EG666043; predicted gene 7904
